dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID2021319,1.9577209061802854,1.3274393439103485,bluegill,LC50stat,163.8754108,C2Cl4,-0.2567928872009952,1.3111567180958452
DTXSID7021360,2.063866090810771,0.48791994421561274,bluegill,LC50stat,92.0626002576,C7H8,0.09978285367037851,2.204396120752914
DTXSID1021374,1.4675626296675255,-0.2,bluegill,LC50stat,249.762839,CHBr3,-0.9299651926100204,2.4224149331700895
DTXSID5021380,1.5835538577415518,-0.2,bluegill,LC50stat,131.9300332,C2H3Cl3,-0.5367898139860582,2.4224149331700895
DTXSID0021381,1.756566725899267,0.06640051076214859,bluegill,LC50stat,131.9300332,C2H3Cl3,-0.363776945828343,3.254994260901688
DTXSID0021383,1.6260367391044905,-0.2,bluegill,LC50stat,129.9143831,C2HCl3,-0.48762049630393495,2.4224149331700895
DTXSID5021386,-0.15795907357117345,-0.2,bluegill,LC50stat,195.9249478,C6H3Cl3O,-2.4500488133026987,2.4224149331700895
DTXSID0021389,0.6869033170054264,0.5387309012349245,bluegill,LC50stat,255.9225788,C4H8Cl3O4P,-1.7212052862544602,2.035287591877763
DTXSID3021431,1.2955420270329385,-0.2,bluegill,LC50stat,86.036779433,C4H6O2,-0.6391421182825064,2.4224149331700895
DTXSID8021438,2.0019395315725568,0.3345965373837885,bluegill,LC50stat,95.9533555,C2H2Cl2,0.019879364906973743,2.4224149331700895
DTXSID8021482,3.5078696176117097,0.0706183630685947,bluegill,LC50stat,58.041864813,C3H6O,1.7441282602797579,3.254994260901688
DTXSID7021491,1.8244316365125692,-0.2,bluegill,LC50stat,103.042199165,C7H5N,-0.18858348247669568,2.4224149331700895
DTXSID8021519,2.839194017523239,-0.2,bluegill,LC50stat,162.12559444,C8H18O3,0.629342436070032,2.4224149331700895
DTXSID0021541,2.5289300809973128,-0.2,bluegill,LC50stat,49.9923278,CH3Cl,0.8300267216570433,2.4224149331700895
DTXSID5021544,1.008599025279287,0.1276017068845814,bluegill,LC50stat,128.0028925,C6H5ClO,-1.0986207582951093,3.254994260901688
DTXSID2021658,2.0086801087196404,-0.2,bluegill,LC50stat,58.041864813,C3H6O,0.24493875138768864,2.4224149331700895
DTXSID1021740,1.9140485698131038,-0.2,bluegill,LC50stat,74.073164942,C4H10O,0.04438766855990153,2.4224149331700895
DTXSID6021741,2.589184419157215,-0.2,bluegill,LC50stat,88.088815006,C5H12O,0.6442636513757535,2.4224149331700895
DTXSID5021756,2.8279216123710373,0.05976883366934975,bluegill,LC50stat,98.073164942,C6H10O,0.8363714216262498,3.254994260901688
DTXSID3021774,0.4444117866793503,-0.2,bluegill,LC50stat,154.078250322,C12H10,-1.7433295513785299,2.4224149331700895
DTXSID6021793,0.14925739370436442,-0.2,bluegill,LC50stat,144.057514878,C10H8O,-2.009278524829597,2.4224149331700895
DTXSID8021804,1.2852338612579435,0.11479452582340688,bluegill,LC50stat,165.078978598,C9H11NO2,-0.9324579118222548,3.254994260901688
DTXSID8021808,1.3473437027241522,-0.2,bluegill,LC50stat,108.057514878,C7H8O,-0.6863112726279975,2.4224149331700895
DTXSID0021834,1.0163278912009148,0.2776478198513545,bluegill,LC50stat,139.026943025,C6H5NO3,-1.1267710822415238,2.729695190827301
DTXSID9021847,0.4444117866793503,-0.2,bluegill,LC50stat,170.073164942,C12H10O,-1.7862240070213844,2.4224149331700895
DTXSID2021864,0.9939177277089708,-0.2,bluegill,LC50stat,122.073164942,C8H10O,-1.0927024767888374,2.4224149331700895
DTXSID4021890,3.446428155151202,-0.2,bluegill,LC50stat,102.104465071,C6H14O,1.4373834207695226,2.4224149331700895
DTXSID4021894,2.778939679363336,-0.2,bluegill,LC50stat,100.088815006,C6H12O,0.7785541318798539,2.4224149331700895
DTXSID1021904,1.5030687440360235,-0.2,bluegill,LC50stat,73.089149358,C4H11N,-0.36078416337707175,2.4224149331700895
DTXSID6021907,0.05027142435322504,-0.2,bluegill,LC50stat,66.021798072,C3H2N2,-1.7694159236040174,2.4224149331700895
DTXSID4021923,1.532493634383561,-0.2,bluegill,LC50stat,84.0939003864,C6H12,-0.3922708617164038,2.4224149331700895
DTXSID9021928,1.6521110678762896,0.04439982158995173,bluegill,LC50stat,132.078644246,C6H12O3,-0.46872153447791065,3.254994260901688
DTXSID3021936,2.6260751325685834,-0.2,bluegill,LC50stat,108.068748266,C6H8N2,0.5923750113988464,2.4224149331700895
DTXSID7021946,0.8371140236751058,-0.2,bluegill,LC50stat,158.167065328,C10H22O,-1.3620020330125833,2.4224149331700895
DTXSID7021948,0.9223882305518287,0.5978850651853741,bluegill,LC50stat,209.105193347,C11H15NO3,-1.3979765885591782,2.035287591877763
DTXSID0021965,0.6944213850453735,-0.2,bluegill,LC50stat,179.9300332,C6H3Cl3,-1.5606822750450893,2.4224149331700895
DTXSID4021971,0.3187818783648592,-0.2,bluegill,LC50stat,156.9930561,C6H4ClNO2,-1.877098565355553,2.4224149331700895
DTXSID3021982,1.9140485698131038,-0.2,bluegill,LC50stat,116.083729626,C6H12O2,-0.1507227831828292,2.4224149331700895
DTXSID2021993,0.5976618894784667,-0.2,bluegill,LC50stat,168.057514878,C12H8O,-1.6277960477202291,2.4224149331700895
DTXSID6022000,2.3270333662139575,0.028486361610682603,bluegill,LC50stat,61.052763849,C2H7NO,0.5413280370452617,3.254994260901688
DTXSID1022007,1.4096749426364543,-0.2,bluegill,LC50stat,130.1357652,C8H18O,-0.7047217274408363,2.4224149331700895
DTXSID0022018,-0.6717641881201555,0.6180050587108045,bluegill,LC50stat,274.028480372,C8H19O2PS3,-3.1095598904500994,1.8971158630957023
DTXSID6022056,0.833525062643482,-0.2,bluegill,LC50stat,145.9690055,C6H4Cl2,-1.3307355865017823,2.4224149331700895
DTXSID7022174,-0.5431159558510574,0.3219246751380449,bluegill,LC50stat,323.038116107,C14H14NO4PS,-3.0523697247403687,2.4224149331700895
DTXSID2022543,1.9140485698131038,-0.2,bluegill,LC50stat,135.068413914,C8H9NO,-0.21650523023272714,2.4224149331700895
DTXSID6023600,0.20279065029083274,-0.2,bluegill,LC50stat,334.168127956,C21H22N2O2,-2.3211743754193996,2.4224149331700895
DTXSID8023846,2.9945720769827253,-0.2,bluegill,LC50stat,183.011901358,C4H10NO3PS,0.7320927439405938,2.4224149331700895
DTXSID0023870,0.6944213850453735,0.1633204473934578,bluegill,LC50stat,94.053098201,C5H6N2,-1.278951721161453,3.254994260901688
DTXSID0023878,-1.268039342114704,0.42865873889121775,bluegill,LC50stat,178.078250322,C14H10,-3.5186502220386617,2.204396120752914
DTXSID8023927,0.8932240695039411,-0.2,bluegill,LC50stat,247.983678,C12H9BrO,-1.5011990275004659,2.4224149331700895
DTXSID9024065,0.3845430045238116,-0.2,bluegill,LC50stat,168.017106617,C6H4N2O4,-1.8408104970303114,2.4224149331700895
DTXSID8024072,1.7586705103536169,-0.2,bluegill,LC50stat,239.131014171,C16H17NO,-0.6199653953725172,2.4224149331700895
DTXSID1024097,2.8883960833468887,-0.2,bluegill,LC50stat,118.099379691,C6H14O2,0.8161484668297605,2.4224149331700895
DTXSID8024105,0.18651942084905637,0.055315407885803004,bluegill,LC50stat,166.078250322,C13H10,-2.033793339936942,3.254994260901688
DTXSID1024259,-0.7024979557807032,0.21286035127455813,bluegill,LC50stat,366.986865,C12H15ClNO4PS2,-3.267148476272291,2.729695190827301
